symbol,trade_date,open,high,low,close,volume
RELIANCE,2026-09-07,3105,3145,3098,3138,1250000
TCS,2026-09-07,4215,4260,4200,4251,980000
INFY,2026-09-07,1660,1685,1654,1682,2100000
HDFCBANK,2026-09-07,1820,1838,1815,1832,1750000
ICICIBANK,2026-09-07,1495,1518,1490,1512,4500000
SBIN,2026-09-07,912,925,908,922,5300000
BEL,2026-09-07,420,432,418,430,8900000
HAL,2026-09-07,5120,5185,5098,5172,720000
LT,2026-09-07,3890,3925,3875,3918,1100000
SUNPHARMA,2026-09-07,1945,1970,1938,1964,950000
TATAMOTORS,2026-09-07,1085,1108,1080,1102,6200000
BAJFINANCE,2026-09-07,7840,7925,7805,7908,640000
